Base de datos DIPPR del Perry's Chemical Engineers Handbook
Vapour pressures of substances: 
(A) Ps = exp(C1+C2./T+C3.*lnT+C4.*T.^C5)./1000 kPa T in Kelvin         (B)   
TABLE 2-8    Vapor Pressure of Inorganic and Organic Liquids, ln P = C1 + C2/T + C3 ln T + C4 T C5, P in Pa
No.   Name                          Formula      C1        C2          C3           C4       C5    Tmin, K  Tmax, K
 203  2-Methylbutanoicacid          C5H10O2    85.383   -9575.4    -8.6164     5.6124E-18    6    193      643      A
 204  3-Methyl-1-butanol            C5H12O     121.85   -10976     -13.869     1.4283E-17    6    155.95   577.2    A
 205  2-Methyl-1-butene             C5H10      93.131   -5525.4    -11.852     1.4205E-02    1    135.58   465      A
 206  2-Methyl-2-butene             C5H10      83.927   -5640.5    -9.6453     1.1121E-05    2    139.39   470      A
 207  2-Methyl-1-butene-3-yne       C5H6       95.453   -5448.8    -12.384     1.5643E-02    1    160.15   492      A
 208  Methylbutylether              C5H12O     60.164   -5621.7    -5.53       1.8629E-17    6    157.48   512.74   A
 209  Methylbutylsulfide            C5H12S     96.344   -7856.3    -11.058     7.3080E-06    2    175.3    593      A
 210  3-Methyl-1-butyne             C5H8       69.459   -5250      -7.1125     7.9289E-17    6    183.45   463.2    A
 211  Methylbutyrate                C5H10O2    71.87    -6885.7    -7.0944     1.4903E-17    6    187.35   554.5    A
 212  Methylchlorosilane            CH5ClSi    95.984   -5401.7    -11.829     1.8092E-05    2    139.05   442      A
 213  Methylcyclohexane             C7H14      92.684   -7080.8    -10.695     8.1366E-06    2    146.58   572.1    A
 214  1-Methylcyclohexanol          C7H14O     134.63   -10682     -16.511     8.4427E-06    2    299.15   686      A
 215  cis-2-Methylcyclohexanol      C7H14O     125.1    -10288     -15.157     1.0918E-05    2    280.15   614      A
 216  trans-2-Methylcyclohexanol    C7H14O     54.179   -7477.2    -4.22       3.5225E-18    6    269.15   617      A
 217  Methylcyclopentane            C6H12      55.368   -5149.8    -5.0136     3.2220E-06    2    130.73   532.7    A
 218  1-Methylcyclopentene          C6H10      52.732   -5286.9    -4.4509     1.0883E-17    6    146.62   542      A
 219  3-Methylcyclopentene          C6H10      52.601   -5120.3    -4.4554     1.3288E-17    6    115      526      A
 220  Methyldichlorosilane          CH4Cl2Si   79.788   -5420      -9.0702     1.1489E-05    2    182.55   483      A
 221  Methylethylether              C3H8O      78.586   -5176.3    -8.7501     9.1727E-06    2    160      437.8    A
 222  Methylethylketone             C4H8O      72.698   -6143.6    -7.5779     5.6476E-06    2    186.48   535.5    A
 223  Methylethylsulfide            C3H8S      79.07    -6114.1    -8.631      6.5333E-06    2    167.23   533      A
 224  Methylformate                 C2H4O2     77.184   -5606.1    -8.392      7.8468E-06    2    174.15   487.2    A
 225  Methylisobutylether           C5H12O     57.984   -5339.6    -5.2362     2.0767E-17    6    150      497      A
 226  Methylisobutylketone          C6H12O     80.503   -7421.8    -8.379      1.8114E-17    6    189.15   574.6    A
