Base de datos Antoine del Perry's Chemical Engineers Handbook
Vapour pressures of substances: 
(A) Ps = exp(C1+C2./T+C3.*lnT+C4.*T.^C5)./1000 kPa T in Kelvin         (B)   
TABLE 2-8    Vapor Pressure of Inorganic and Organic Liquids, ln P = C1 + C2/T + C3 ln T + C4 T C5, P in Pa
No.   Name                          Formula      C1        C2         C3          C4        C5    Tmin, K  Tmax, K
 268  2-Octanol                     C8H18O     133.41   -12630     -15.369     2.9939E-41    14   241.55   629.8    A
 269  2-Octanone                    C8H16O     63.775   -7711.3    -5.7359     3.0902E-18    6    252.85   632.7    A
 270  3-Octanone                    C8H16O     72.382   -8054.8    -7.0002     5.8276E-18    6    255.55   627.7    A
 271  1-Octene                      C8H16      74.936   -7155.9    -7.5843     1.7106E-17    6    171.45   566.9    A
 272  Octylmercaptan                C8H18S     78.368   -8855.4    -7.8202     5.6629E-18    6    223.95   667.3    A
 273  1-Octyne                      C8H14      64.612   -6802.5    -6.0261     1.1013E-17    6    193.55   574      A
 274  Oxalicacid                    C2H2O4     122.04   -16050     -12.986     2.0871E-18    6    462.65   804      A
 275  Oxygen                        O2         51.245   -1200.2    -6.4361     2.8405E-02    1    54.36    154.58   A
 276  Ozone                         O3         40.067   -2204.8    -2.9351     7.7520E-16    6    80.15    261      A
 277  Pentadecane                   C15H32     135.57   -13478     -16.022     5.6136E-06    2    283.07   708      A
 278  Pentanal                      C5H10O     149.58   -8890      -20.697     2.2101E-02    1    182      566.1    A
 279  Pentane                       C5H12      78.741   -5420.3    -8.8253     9.6171E-06    2    143.42   469.7    A
 280  Pentanoicacid                 C5H10O2    101.7    -10955     -10.829     7.1880E-18    6    239.15   639.16   A
 281  1-Pentanol                    C5H12O     114.748  -10643     -12.858     1.2491E-17    6    195.56   588.1    A
 282  2-Pentanol                    C5H12O     122.26   -10774     -13.943     1.0700E-42    15   200      561      A
 283  2-Pentanone                   C5H10O     84.635   -7078.4    -9.3        6.2702E-06    2    196.29   561.08   A
 284  3-Pentanone                   C5H10O     44.286   -5415.1    -3.0913     1.8580E-18    6    234.18   560.95   A
 285  1-Pentene                     C5H10      46.994   -4289.5    -3.7345     2.5424E-17    6    108.02   464.8    A
 286  2-Pentylmercaptan             C5H12S     58.985   -6193.1    -5.2746     7.3986E-18    6    160.75   584.3    A
 287  Pentylmercaptan               C5H12S     67.309   -6880.8    -6.4449     1.0148E-17    6    197.45   598      A
 288  1-Pentyne                     C5H8       82.805   -5683.8    -9.4301     1.0767E-05    2    167.45   481.2    A
 289  2-Pentyne                     C5H8       137.29   -7447.1    -19.01      2.1415E-02    1    163.83   519      A
 290  Phenanthrene                  C14H10     72.958   -10943     -6.7902     1.0850E-18    6    372.38   869      A
 291  Phenol                        C6H6O      95.444   -10113     -10.09      6.7603E-18    6    314.06   694.25   A
 292  Phenylisocyanate              C7H5NO     86.779   -8101.8    -9.5303     6.1367E-06    2    243.15   653      A
 293  Phthalicanhydride             C8H4O3     126.5    -12551     -15.002     7.7521E-06    2    404.15   791      A
 294  Propadiene                    C3H4       57.069   -3682.7    -5.5662     6.5133E-06    2    136.87   394      A
 295  Propane                       C3H8       59.078   -3492.6    -6.0669     1.0919E-05    2    85.47    369.83   A
 296  1-Propanol                    C3H8O      84.6642  -8307.2    -8.5767     7.5091E-18    6    146.95   536.8    A
 297  2-Propanol                    C3H8O      96.094   -8575.4    -10.292     1.6665E-17    6    185.26   508.3    A
 298  Propenylcyclohexene           C9H14      64.268   -7298.9    -5.9109     4.8482E-18    6    199      636      A
 299  Propionaldehyde               C3H6O      80.581   -5896.1    -8.9301     8.2236E-06    2    170      504.4    A
 300  Propionicacid                 C3H6O2     54.552   -7149.4    -4.2769     1.1843E-18    6    252.45   600.81   A
 301  Propionitrile                 C3H5N      82.699   -6703.5    -9.1506     7.5424E-06    2    180.26   564.4    A
 302  Propylacetate                 C5H10O2    115.16   -8433.9    -13.934     1.0346E-05    2    178.15   549.73   A
 303  Propylamine                   C3H9N      58.398   -5312.7    -5.2876     1.9913E-06    2    188.36   496.95   A
